104.219	36.2136	1221.23
104.33	36.2207	1229
105.995	36.2264	1229
113.117	36.5525	1264.29
118.589	36.5555	1264.29
112.559	36.5565	1229
112.112	36.5577	1183.54
116.92	36.6363	1264.29
113.454	36.639	1200.97
113.119	36.6427	1229
120.047	36.6453	1229
112.559	36.6466	1221.23
112.112	36.6479	1182.87
107.526	36.6539	1229
107.749	36.6621	1221.23
103.03	36.6687	1259.47
104.396	36.6746	1221.23
117.929	36.6802	1221.23
106.182	36.6857	1229
115.358	36.6907	1229
119.271	36.6955	1221.23
111.435	37.4578	1229
111.774	37.459	1192.27
118.442	37.4634	1264.29
116.296	37.4711	1264.29
119.685	37.4786	1221.23
104.427	37.4859	1221.23
108.268	37.4903	1229
108.494	37.4973	1221.23
108.606	37.5006	1229
108.832	37.5068	1264.29
109.058	37.5127	1264.29
109.171	37.5154	1221.23
107.015	37.6241	1229
110.413	37.6288	1229
110.64	37.6316	1221.23
103.96	37.6347	1221.23
111.66	37.7291	1229
120.551	38.1378	1221.23
106.973	38.2526	1261.63
107.087	38.2575	1258.4
110.514	38.261	1253.77
110.743	38.2636	1317.72
111.085	38.2668	1264.29
111.428	38.269	1131.72
111.771	38.2702	1183.97
119.883	38.2748	1221.23
118.286	38.2818	1264.29
116.116	38.2882	1261.3
118.058	38.2938	1264.29
117.945	38.2996	1264.29
117.831	38.3054	1264.29
105.813	38.4671	1193.92
116.012	38.472	1259.3
