104.219	36.2136	-3
104.33	36.2207	-1
105.995	36.2264	-1
113.117	36.5525	0.232339
118.589	36.5555	0.23234
112.559	36.5565	-1
112.112	36.5577	-3
116.92	36.6363	0.232363
113.454	36.639	-3
113.119	36.6427	-1
120.047	36.6453	-1
112.559	36.6466	-3
112.112	36.6479	-3
107.526	36.6539	-1
107.749	36.6621	-3
103.03	36.6687	0.121596
104.396	36.6746	-3
117.929	36.6802	-3
106.182	36.6857	-1
115.358	36.6907	-1
119.271	36.6955	-3
111.435	37.4578	-1
111.774	37.459	-3
118.442	37.4634	0.232342
116.296	37.4711	0.232348
119.685	37.4786	-3
104.427	37.4859	-3
108.268	37.4903	-1
108.494	37.4973	-3
108.606	37.5006	-1
108.832	37.5068	0.232335
109.058	37.5127	0.232333
109.171	37.5154	-3
107.015	37.6241	-1
110.413	37.6288	-1
110.64	37.6316	-3
103.96	37.6347	-3
111.66	37.7291	-1
120.551	38.1378	-3
106.973	38.2526	0.172379
107.087	38.2575	0.0955016
110.514	38.261	-0.0228298
110.743	38.2636	0.990159
111.085	38.2668	0.232343
111.428	38.269	-3
111.771	38.2702	-3
119.883	38.2748	-3
118.286	38.2818	0.232339
116.116	38.2882	0.164743
118.058	38.2938	0.23233
117.945	38.2996	0.232328
117.831	38.3054	0.232333
105.813	38.4671	-3
116.012	38.472	0.117552
