104.219	36.2136	22.0331
104.33	36.2207	21.933
105.995	36.2264	21.933
113.117	36.5525	21.3335
118.589	36.5555	21.3335
112.559	36.5565	21.933
112.112	36.5577	22.4799
116.92	36.6363	21.3335
113.454	36.639	22.2705
113.119	36.6427	21.933
120.047	36.6453	21.933
112.559	36.6466	22.0331
112.112	36.6479	22.4881
107.526	36.6539	21.933
107.749	36.6621	22.0331
103.03	36.6687	21.4447
104.396	36.6746	22.0331
117.929	36.6802	22.0331
106.182	36.6857	21.933
115.358	36.6907	21.933
119.271	36.6955	22.0331
111.435	37.4578	21.933
111.774	37.459	22.3743
118.442	37.4634	21.3335
116.296	37.4711	21.3335
119.685	37.4786	22.0331
104.427	37.4859	22.0331
108.268	37.4903	21.933
108.494	37.4973	22.0331
108.606	37.5006	21.933
108.832	37.5068	21.3335
109.058	37.5127	21.3335
109.171	37.5154	22.0331
107.015	37.6241	21.933
110.413	37.6288	21.933
110.64	37.6316	22.0331
103.96	37.6347	22.0331
111.66	37.7291	21.933
120.551	38.1378	22.0331
106.973	38.2526	21.3961
107.087	38.2575	21.4683
110.514	38.261	21.5622
110.743	38.2636	19.5434
111.085	38.2668	21.3335
111.428	38.269	23.1333
111.771	38.2702	22.4746
119.883	38.2748	22.0331
118.286	38.2818	21.3335
116.116	38.2882	21.4037
118.058	38.2938	21.3335
117.945	38.2996	21.3335
117.831	38.3054	21.3335
105.813	38.4671	22.3546
116.012	38.472	21.4484
